"id","array_agg"
"0205840b-26ed-c2b9-701e-d0564843f525","{NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL}"
"020abef9-5ca1-7ef1-0c7c-4624074db6b6","{NULL}"
"020c8b39-52f4-f02d-da6c-cbfa95947a81","{NULL,NULL,NULL,NULL,NULL,NULL,NULL}"
"021745d1-a876-8083-3b08-2a5d2fe7e38a","{NULL}"
"02199015-164d-28d0-acad-bedaad23505a","{NULL}"
"021b617b-6325-ea46-9f0e-aa78f76d7e42","{NULL,NULL,NULL,NULL,NULL,NULL,NULL}"
"0222e7fa-ac27-88a3-c77c-f8846a7af05c","{NULL}"
"0226070d-a446-e653-232c-af2ea05fc9b0","{NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL}"
"022ae058-115f-6d23-5d5c-310e5078ce4b","{NULL,NULL,NULL,NULL,NULL,NULL,NULL}"
"0231b886-9954-a71d-9d74-e5448544cef3","{NULL,NULL,NULL,NULL,NULL,NULL,NULL}"
"02334a4d-4eed-75ea-b241-36d5223f70a1","{NULL,NULL,NULL,NULL,NULL}"
"023e1c6b-ad58-4063-7012-461f77675c78","{NULL,NULL}"
"0245b952-cf19-a3ef-00f9-43330bdc9b17","{NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL}"
"024c6530-b9cc-107b-0ede-36dbcba36759","{NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL}"
"024c8743-549b-ee42-2c71-dd412be5920d","{NULL,NULL}"
"024efaf2-7daf-ab04-f217-be37c79a7485","{NULL}"
"024f9379-0593-09af-5173-813c99db236d","{NULL,NULL}"
"02569a1a-6331-76b8-92f6-f14d4128f9a0","{NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL}"
"025a3cae-d6a3-dbc5-400c-98cfd5d5e617","{NULL,NULL,NULL,NULL,NULL}"
"025dd07c-c1cc-3dff-56ac-265bb90fd239","{NULL,NULL,NULL,NULL,NULL,NULL}"
"026aba0a-add0-8ff7-5158-e1d28b4cb0b9","{NULL,NULL}"
"027172bc-15bf-0e64-ecdd-46768ac184e9","{NULL,NULL,NULL,NULL,NULL,NULL,NULL}"
"02748c9f-00d4-b5a9-0d26-96d05303f457","{NULL}"
"027831fc-b63b-243e-69c7-6ce38b0cb232","{NULL,NULL}"
"027984f7-e21d-cef8-0b38-1559390e4f8d","{NULL,NULL}"
"027d1e76-3c6a-d35f-ea31-e2add2b54145","{NULL,NULL,NULL,NULL,NULL,NULL}"
"027d7882-4287-bcf6-b62d-3fbe881b7b10","{NULL}"
"0281a3c7-68da-0457-68bb-a848fbe8d087","{NULL,NULL,NULL,NULL,NULL,NULL}"
"0284f036-cc05-4860-3e72-84963d50bd32","{NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL}"
"028516d6-763a-3575-5a69-32bc446c12da","{NULL}"
"0286a0c3-70bb-98c8-439c-2635cebf2de7","{NULL}"
"028afa71-80b8-29c1-62c0-9097432b3093","{NULL,NULL}"
"0294a8d6-6ac4-7014-822e-6403440b65a1","{NULL,NULL,NULL}"
"02970831-c8b0-4e8b-fd0f-e6ad6c322057","{NULL}"
"02994571-3d6e-d328-1415-a8ea3471cb6d","{NULL,NULL,NULL}"
"029afe99-c652-c31c-9ee2-b4244c446065","{NULL}"
"029c9e19-f0d1-7987-bb6c-b6bcb0919a2d","{NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL}"
"02a43b7f-eae3-00ba-0b17-7b21506cc28a","{NULL,NULL,NULL,NULL,NULL}"
"02a51e95-6b56-3969-5b4f-46eea96eb173","{NULL,NULL,NULL,NULL,NULL,NULL}"
"02a7257f-d5da-7b9b-cddf-390a7251d6a6","{NULL}"
"02adf142-1bd6-ea2a-79e5-e862b4fd6815","{NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL}"
"02ae2724-9d91-c483-abee-1018ceaa9851","{NULL,NULL}"
"02af99d7-5b7b-ce33-4306-0b34164a3cde","{NULL,NULL,NULL,NULL,NULL,NULL,NULL}"
"02b1047f-d39b-d6b2-c8a0-63a3827ed794","{NULL,NULL,NULL}"
"02b7068b-539a-0ea2-148b-9378aec813ae","{NULL}"
"02b8faf1-8937-f8b0-a3a7-7c46243584f8","{NULL}"
"02bb4a97-a26b-3808-b63e-7ca1190b3aba","{NULL,NULL}"
"02c3c086-7b6a-c041-e308-bf2ec8b4112c","{NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL}"
"02c42522-36dc-1a29-90b7-ba1726ed6b64","{NULL}"
"02c4b6a8-1961-3907-a2cc-14b0be2f8a66","{NULL,NULL}"
"02c7088b-5c46-50f3-b38b-42fadfe9c208","{NULL}"
"02cc86e7-fd3b-2ff4-f503-9632fa065c72","{NULL}"
"02d14264-0454-a808-e2b0-7b685d0b8d09","{NULL,NULL,NULL,NULL}"
"02d6bcf4-00d3-0436-482f-dd0c08b1e62b","{NULL,NULL}"
"02dc3fc5-1a50-c224-1f80-81deeaf37e7a","{NULL,NULL,NULL,NULL,NULL,NULL}"
"02dc7b0b-1870-427f-83a6-2b6703cd29ff","{NULL}"
"02e64c64-cbbc-81a1-61ba-636f2d2e7eea","{NULL,NULL,NULL,NULL,NULL,NULL}"
